"";"X.";"X..Year..";"X..Month..";"X..Day..";"X..temp.demain...";"prev3";"prev5"
"121";1296;2013;12;17;6,41;5,69852522471967;6,05020763692003
"122";1304;2013;12;25;4,37;3,81569197199576;4,34279442297959
"123";1308;2013;12;29;2,99;4,79174244177579;4,61616168384093
"124";1338;2014;1;28;2,92;3,15456109092504;3,38151007319167
"125";1340;2014;1;30;3,95;2,93166621578652;3,26197274058471
"126";1350;2014;2;9;5,86;6,04395622683199;5,77964677158552
"127";1380;2014;3;11;9,33;10,1451332310043;10,1134412392225
"128";1388;2014;3;19;12,56;12,2855719106001;12,0723340659689
"129";1402;2014;4;2;17,97;17,0126867293928;17,1562185627322
"130";1404;2014;4;4;15,42;16,0480459304668;16,1849100872361
"131";1418;2014;4;18;10,03;9,05101860238315;9,12945178621215
"132";1438;2014;5;8;16,95;16,6625393467926;16,341447635203
"133";1444;2014;5;14;10,62;11,6219878087674;11,2787379339508
"134";1446;2014;5;16;13,68;14,6126644306156;14,4530586953564
"135";1448;2014;5;18;18;16,3346930327767;16,5923468917976
"136";1454;2014;5;24;17,12;16,7241491674566;16,5894438584524
"137";1458;2014;5;28;15,81;14,1533523459709;14,1499451382345
"138";1480;2014;6;19;18,71;19,5965522130882;19,4419568979226
"139";1496;2014;7;5;24,33;20,4797334649148;20,2987459671387
"140";1508;2014;7;17;25,51;24,8011343802101;24,9112020097184
"141";1524;2014;8;2;20,21;20,3437291175359;20,4700578961987
"142";1526;2014;8;4;19,73;19,6089564995628;19,6444081655215
"143";1544;2014;8;22;15,98;17,3065211059756;17,3238736223861
"144";1550;2014;8;28;19,33;18,5743912285678;18,7558969674835
"145";1552;2014;8;30;17,08;19,0667482659022;19,1185126729393
"146";1556;2014;9;3;19,16;15,5603555548345;15,6747644619759
"147";1558;2014;9;5;20,82;20,2263653493466;20,3931078117234
"148";1580;2014;9;27;18;16,2859066084828;16,4843954443739
"149";1588;2014;10;5;15,41;16,1691735793383;16,3349682130667
"150";1592;2014;10;9;17,28;17,3276576932638;17,4591614216682
"151";1602;2014;10;19;18,59;17,5907667515027;17,7976862691111
"152";1604;2014;10;21;7,91;14,7536739634827;14,4607873034753
"153";1612;2014;10;29;13,19;11,5440112002645;11,6587517768009
"154";1626;2014;11;12;10,27;8,94014794205882;9,14876628053561
"155";1650;2014;12;6;3,49;3,9947480672122;3,95806973476419
"156";1652;2014;12;8;2,23;4,1247576134578;4,09351573456676
"157";1654;2014;12;10;5,74;3,30960575129541;3,34133753711896
"158";1658;2014;12;14;9,27;9,42829183586487;9,54246950639831
"159";1680;2015;1;5;3,22;2,85558153967358;3,14751539043007
"160";1682;2015;1;7;6,77;5,42333758850882;5,37762792589213
"161";1706;2015;1;31;1,54;1,13428032273046;1,15909659684551
"162";1718;2015;2;12;6,9;5,54217560670958;5,9112453722161
"163";1724;2015;2;18;3,1;4,31851854366373;4,30393824047338
"164";1728;2015;2;22;4,85;4,30640432425538;4,63569492354023
"165";1732;2015;2;26;4,74;6,23316956186793;6,55053982853248
"166";1734;2015;2;28;7,65;4,44638945102932;4,56037994382931
"167";1750;2015;3;16;10,31;9,41484966218493;9,65584807308161
"168";1766;2015;4;1;6,51;6,7081677793574;6,06457288839288
"169";1768;2015;4;3;6,46;8,32413826010935;8,48243597018044
"170";1776;2015;4;11;14,09;13,7586906107997;13,6551288816132
"171";1792;2015;4;27;10,48;12,9269073579187;13,0399195069597
"172";1796;2015;5;1;12,69;10,0587548672284;10,0908600984368
"173";1806;2015;5;11;22,24;19,8697093980969;19,9909773631108
"174";1828;2015;6;2;21,27;19,9789850967681;19,7416838257872
"175";1836;2015;6;10;22;18,9519684406223;19,0563081578614
"176";1844;2015;6;18;15,94;16,554711063444;16,3738913229302
"177";1848;2015;6;22;14,93;17,9609372606016;17,7574317919621
"178";1862;2015;7;6;27,9;24,8510338654098;24,5012015659568
"179";1870;2015;7;14;24,02;23,2603006826329;23,047650456814
"180";1884;2015;7;28;17,02;18,7611695467263;18,383181967527
"181";1886;2015;7;30;17,7;16,8566797870416;16,7283789860237
"182";1912;2015;8;25;20,14;17,5520393549825;17,2991528860521
"183";1920;2015;9;2;16,79;16,7065173254181;16,7790645519702
"184";1922;2015;9;4;14,68;16,2789394869294;16,2365829785256
"185";1932;2015;9;14;15,19;15,6824459172107;15,6472788948154
"186";1934;2015;9;16;16,03;16,6612201717271;16,7383389754812
"187";1944;2015;9;26;12,81;14,7517282176848;14,7737277135093
"188";1952;2015;10;4;15,54;14,0998893853471;14,2063694679491
"189";1958;2015;10;10;11,27;11,4925667354743;11,5742310839262
"190";1962;2015;10;14;5,34;6,72907430945252;6,60915602666131
"191";1964;2015;10;16;7,23;7,27041970764755;7,24783298108567
"192";1990;2015;11;11;10,56;9,7790504848647;9,87565490883357
"193";1998;2015;11;19;13,9;12,9385950099659;12,5205594166989
"194";2010;2015;12;1;8,29;9,50858288230331;9,08185922068032
"195";2016;2015;12;7;7,7;8,91347135768458;9,10391935314073
"196";2020;2015;12;11;6,64;6,14535145152522;6,01091602030204
"197";2022;2015;12;13;5,91;6,09390058701255;6,27770618707179
"198";2026;2015;12;17;9,95;11,0835069370606;11,2176559368641
"199";2042;2016;1;2;6,7;5,11066128943752;5,28703814025326
"200";2058;2016;1;18;2,48;-0,705468854345445;-0,586649761253623
"201";2072;2016;2;1;11;11,4640245648518;10,9988273630112
"202";2088;2016;2;17;4,75;3,04648834947304;2,84859339490663
"203";2096;2016;2;25;3,16;3,37430285102954;3,63805686782979
"204";2100;2016;2;29;3,59;2,26116888042771;1,99970228687941
"205";2104;2016;3;4;5,4;3,1582225381968;3,07556849568138
"206";2106;2016;3;6;3,49;2,5699088123215;2,44442169352121
"207";2130;2016;3;30;14,44;12,8585942406905;12,7583831586587
"208";2156;2016;4;25;6,25;6,0534871479208;5,70053477271796
"209";2186;2016;5;25;19,34;15,957988219131;16,0418460124644
"210";2190;2016;5;29;16,25;14,8173271722657;15,0614728355908
"211";2194;2016;6;2;14,91;15,0227161601036;14,9207422258911
"212";2196;2016;6;4;16,45;16,0150945114049;15,9482223894212
"213";2198;2016;6;6;19,65;19,0922734849548;19,2510503788958
"214";2204;2016;6;12;14,99;14,8175470019615;14,7434873869556
"215";2210;2016;6;18;14,03;14,4182849324591;14,4592561127139
"216";2218;2016;6;26;17,08;16,4679494745854;16,2634181161738
"217";2250;2016;7;28;21,51;19,8405428751464;19,8181030625992
"218";2252;2016;7;30;20,02;23,286293192355;23,3413703115995
"219";2264;2016;8;11;18,93;16,0564142476068;15,9313095829946
"220";2270;2016;8;17;19,7;21,896068129444;22,1992460564669
"221";2272;2016;8;19;19,24;20,1928912214729;20,393131092177
"222";2276;2016;8;23;22,89;21,1225785047933;21,1012654889404
"223";2286;2016;9;2;23,34;22,0129564198876;22,1339650808612
"224";2288;2016;9;4;18,11;20,0444606093403;20,0581100417338
"225";2314;2016;9;30;17,21;18,4291568953551;18,3449211031389
"226";2316;2016;10;2;13,18;13,218170602376;13,0393842289142
"227";2322;2016;10;8;9;10,9930112107778;11,1518684733548
"228";2326;2016;10;12;8,03;7,93300114318982;8,14099119803238
"229";2330;2016;10;16;15,25;13,6507362159418;13,8717358818117
"230";2348;2016;11;3;8,26;6,69897543087176;6,85928245846832
"231";2362;2016;11;17;11,85;11,1608229976033;10,8467681017423
"232";2366;2016;11;21;10,43;7,76185681701952;7,93396676487558
"233";2376;2016;12;1;2,7;4,90583873579742;4,88797620603277
"234";2386;2016;12;11;3,81;4,85569649058361;4,88203322218816
"235";2388;2016;12;13;5,05;4,74196505482257;5,10004848791923
"236";2392;2016;12;17;3,83;5,1841533348859;5,38790921465442
"237";2396;2016;12;21;5,35;4,31734080209039;4,52700344243727
"238";2402;2016;12;27;2,06;4,68616607913376;4,62518171331947
"239";2412;2017;1;6;-2,88;-1,19696320462455;-1,08539769704442
"240";2422;2017;1;16;-2,29;-0,263066761465624;-0,00144816599747516
"241";2454;2017;2;17;6,88;8,63403103201063;8,49537748525216
"242";2458;2017;2;21;10,48;10,1048051691026;9,82790496654168
"243";2470;2017;3;5;5,1;6,42159660237181;6,13342198984863
"244";2474;2017;3;9;8,81;9,63028541472405;9,28890734325355
"245";2506;2017;4;10;11,02;16,699145221666;16,4948640964358
"246";2508;2017;4;12;12,11;12,7435214169605;12,6228441853174
"247";2518;2017;4;22;8,73;11,8535533951213;11,6717076643322
"248";2522;2017;4;26;6,54;4,95337588226825;5,00880396594872
"249";2536;2017;5;10;16,14;13,4929782423736;13,663706785776
"250";2540;2017;5;14;16,28;15,2385148082712;15,2214046441495
"251";2544;2017;5;18;11,63;17,675087492493;17,8198695058972
"252";2552;2017;5;26;21,1;19,0373035821087;18,9948037511978
"253";2558;2017;6;1;20,91;20,6769501926444;20,9471175081679
"254";2570;2017;6;13;21,87;19,7998843740731;19,674963439524
"255";2574;2017;6;17;19,84;19,0156749443649;18,7870982933812
"256";2576;2017;6;19;26,41;22,7987129221952;22,7500801134231
"257";2580;2017;6;23;22,58;24,8415509578498;24,4886512755102
"258";2586;2017;6;29;16,41;15,1400381341717;15,0493734419667
"259";2600;2017;7;13;18,82;19,030458989925;18,9847636253605
"260";2614;2017;7;27;21,2;18,4526120583167;18,3522644231004
"261";2630;2017;8;12;20;17,9887679639621;17,7409747313433
"262";2646;2017;8;28;24,44;25,3758426276682;25,5192873434211
"263";2648;2017;8;30;18,16;24,1188337013112;24,076958632668
"264";2652;2017;9;3;16,8;16,0431957078542;16,166179801861
"265";2654;2017;9;5;19,54;20,5092511858285;20,5355483769702
"266";2660;2017;9;11;13,89;13,4048999438278;13,2681331490205
"267";2664;2017;9;15;11,26;12,887847072241;12,8302617971115
"268";2676;2017;9;27;19,11;17,6105950541916;17,8889677433645
"269";2686;2017;10;7;12,33;11,7722969915438;11,6134364794114
"270";2694;2017;10;15;18,09;17,0797054695485;17,2949571610631
"271";2698;2017;10;19;16,65;15,2669838641848;15,5174875194724
"272";2720;2017;11;10;8,74;7,07627689360774;6,93745467589248
"273";2726;2017;11;16;4,99;4,08951856283365;4,24214346539342
"274";2736;2017;11;26;4,78;3,20209488531731;2,93854695151918
"275";2740;2017;11;30;0,36;1,78172470471757;1,60548811213144
"276";2744;2017;12;4;3,93;3,58732942498631;3,2816239988178
"277";2758;2017;12;18;2,37;2,26112639953887;2,04693573212033
"278";2786;2018;1;15;7,28;4,77365563481106;4,78621380132039
"279";2788;2018;1;17;6,28;3,37993417593523;2,68028226728742
"280";2798;2018;1;27;6,27;7,57682345212197;7,62218787430412
"281";2814;2018;2;12;1,23;1,96694088534077;1,81207862432153
"282";2816;2018;2;14;4,07;2,2379705438273;2,57111617327413
"283";2820;2018;2;18;2,05;3,80170410123314;3,81805696329118
"284";2830;2018;2;28;-1,07;-2,78352354932813;-2,65748990777385
"285";2842;2018;3;12;7,84;9,32018787236146;9,25385283587372
"286";2908;2018;5;17;15,3;13,3314278279586;13,3501530753133
"287";2914;2018;5;23;18,99;16,5375527790977;16,3974503694759
"288";2924;2018;6;2;21,61;20,409372264173;20,2565112864258
"289";2928;2018;6;6;19,3;20,4395565312829;20,4108894364643
"290";2936;2018;6;14;19,58;18,1059508725635;18,0889278784145
